644,u,311
126,u,192
395,u,534
990,u,13
344,u,435
76,u,655
547,u,463
449,u,945
152,u,549
358,u,479
605,u,61
582,u,650
629,p,738
646,u,985
960,u,317
257,u,549
814,u,23
861,u,831
460,t,221
371,u,159
623,u,44
401,u,612
772,u,814
612,u,289
690,u,461
882,u,500
355,u,477
448,u,749
864,u,42
642,u,929
501,u,336
564,u,968
704,u,538
242,u,990
198,u,624
49,u,371
654,u,954
155,u,152
587,u,26
469,u,409
317,u,230
25,u,650
378,u,954
215,u,947
148,u,97
285,u,176
709,u,911
64,u,249
192,u,861
594,u,882
170,q2,294
409,u,43
381,u,313
191,u,168
140,u,411
159,u,254
607,u,190
977,u,738
547,u,517
168,u,954
406,u,512
277,u,559
56,u,494
503,u,869
26,u,572
611,u,806
851,u,960
981,t,502
322,u,88
2,u,281
139,u,49
878,u,76
437,u,458
612,u,539
981,u,938
880,u,802
882,u,690
392,u,793
572,u,488
142,u,198
97,u,611
220,u,557
642,u,111
70,u,852
662,u,538
564,u,2
924,u,623
314,u,517
886,u,624
254,u,835
167,u,532
447,u,190
42,u,649
49,u,576
128,u,878
340,u,181
756,u,159
666,u,175
190,u,978
64,u,808
606,u,888
124,u,589
534,u,861
35,u,572
964,u,255
349,u,733
533,u,976
433,u,501
414,u,254
395,u,557
990,u,18
313,u,215
650,u,475
65,u,589
925,u,501
673,u,414
358,u,468
983,u,468
26,u,378
591,u,925
968,u,609
104,u,184
457,u,502
630,u,756
861,u,822
793,t,423
623,u,35
537,u,793
738,u,140
411,u,498
435,u,499
772,u,823
74,u,469
95,u,744
867,u,685
981,u,155
612,u,298
975,u,882
954,u,111
882,u,461
443,t,817
396,u,381
864,u,35
471,u,257
792,q2,345
258,u,650
198,u,649
154,u,190
570,u,867
475,u,964
261,u,215
215,u,954
858,u,255
494,u,152
64,u,242
316,u,612
597,u,258
767,u,977
497,u,437
360,u,162
705,u,886
725,t,575
176,u,814
550,u,606
409,u,18
852,u,869
488,u,512
191,u,159
607,u,181
517,u,249
772,q1,588
119,u,624
56,u,471
990,u,869
468,u,646
104,u,882
193,u,806
26,u,549
851,u,975
461,u,2
2,u,278
878,u,437
435,u,713
109,u,255
19,u,542
465,t,5
505,u,24
975,u,184
880,u,827
823,u,313
230,u,861
411,u,675
392,u,226
905,u,184
808,u,340
105,u,738
220,u,550
985,u,792
336,u,104
254,u,840
167,u,539
447,u,181
732,u,517
42,u,662
25,u,311
390,u,311
247,u,629
806,u,624
85,u,733
242,u,230
945,u,759
774,u,550
198,u,344
588,u,410
570,u,18
340,u,190
666,u,212
767,u,2
759,u,277
594,u,90
497,u,650
124,u,582
542,u,490
705,u,167
35,u,587
162,u,50
822,u,662
372,u,189
990,u,27
140,u,675
184,u,589
749,u,25
298,u,613
547,u,477
673,u,401
983,u,475
508,t,805
26,u,355
249,u,152
104,u,65
468,u,437
457,u,505
72,u,654
90,u,925
679,t,43
823,u,767
235,u,390
649,u,396
206,u,184
589,u,981
981,u,130
437,u,738
355,u,499
864,u,20
546,u,613
220,u,277
501,u,322
174,u,852
938,u,517
155,u,142
154,u,167
469,u,395
25,u,612
475,u,947
215,u,929
285,u,162
814,t,648
64,u,235
767,u,968
316,u,605
597,u,269
232,u,471
217,t,851
512,u,36
840,u,258
852,u,878
381,u,299
947,u,886
517,u,192
547,u,539
718,u,759
406,u,622
629,u,886
468,u,655
193,u,793
503,u,851
26,u,594
624,u,48
63,r,162
527,u,448
968,u,313
859,t,795
96,u,552
978,u,198
325,u,411
130,u,235
589,u,159
19,u,517
537,u,49
411,u,666
50,u,242
392,u,235
744,u,898
955,u,505
808,u,349
690,u,738
336,u,97
784,t,4
167,u,546
278,u,685
810,r,810
613,u,95
242,u,255
49,u,594
512,u,878
570,u,27
340,u,167
149,u,646
538,u,97
633,t,54
767,u,249
542,u,499
898,u,448
73,u,95
35,u,594
822,u,655
947,u,76
831,u,36
414,u,12
126,u,167
313,u,193
24,u,612
477,u,990
673,u,392
888,u,759
26,u,360
111,u,167
287,u,831
918,u,542
104,u,74
861,u,792
425,u,298
325,u,597
154,t,551
622,u,111
623,u,49
498,u,277
74,u,427
95,u,662
777,u,235
354,u,287
612,u,316
505,u,880
437,u,749
502,u,981
736,u,105
864,u,13
546,u,594
167,u,344
281,u,497
85,u,414
254,u,96
458,u,278
427,u,287
568,u,278
174,u,861
88,u,191
359,u,606
25,u,623
475,u,938
976,u,546
594,u,793
561,u,546
194,u,124
705,u,864
409,u,12
532,u,26
547,u,546
477,u,24
539,u,381
119,u,622
625,u,733
174,s,368
56,u,449
24,u,427
869,u,311
503,u,858
527,u,471
968,u,258
969,u,155
649,u,713
325,u,354
109,u,193
354,u,613
260,t,762
27,u,685
537,u,56
792,u,539
808,u,358
336,u,122
564,u,61
254,u,806
43,u,653
247,u,611
501,u,634
25,u,289
806,u,606
774,u,564
198,u,358
49,u,613
378,u,192
793,u,981
176,u,226
594,u,104
289,u,255
713,u,898
898,u,505
964,u,154
372,u,175
831,u,27
479,t,622
395,u,458
344,u,479
547,u,499
477,u,969
152,u,705
111,u,190
287,u,822
192,s,587
104,u,83
457,u,395
90,u,947
425,u,317
557,u,840
255,u,925
901,t,504
823,u,749
738,u,235
498,u,226
411,u,479
435,u,488
95,u,653
649,u,414
19,u,381
612,u,261
954,u,74
880,u,212
396,u,344
448,u,649
546,u,587
993,v,993
677,u,498
254,u,105
458,u,287
867,t,851
568,u,287
427,u,278
198,u,684
938,u,539
154,u,213
212,u,590
359,u,613
475,u,929
613,u,823
285,u,148
494,u,255
64,u,149
316,u,591
190,u,111
80,t,426
501,q1,700
176,u,817
550,u,549
409,u,247
488,u,539
433,u,576
381,u,477
357,u,168
349,u,503
159,u,26
607,u,90
477,u,19
539,u,372
119,u,597
56,u,458
990,u,888
26,u,576
405,u,977
