4806	u	2972
1635	u	2248
891	u	4806
4999	u	1772
712	u	2712
3352	u	3240
2358	u	761
2377	t	2343
4251	t	2132
4854	u	1180
4769	u	3938
2151	u	858
1204	u	278
1231	u	3207
2642	u	683
640	u	1045
68	u	1214
3777	u	3530
376	u	4177
2874	u	1085
3848	u	4524
4862	t	4330
4878	u	4669
841	u	4769
1211	u	3789
2586	t	1379
3170	t	3129
1422	u	1387
1215	u	3514
4047	u	4153
3930	r	3930
2110	u	2707
156	u	3113
3528	u	4091
151	u	1770
4433	u	761
2417	u	4047
1138	u	1337
2693	t	535
3726	u	4769
1222	u	1058
242	u	2503
225	u	316
3226	u	3018
4459	u	2155
1214	u	3344
4255	u	3687
4861	t	3779
1770	u	4711
2368	u	3608
4405	u	374
4623	u	3938
1827	u	1528
2364	v	2364
4646	u	2248
3546	u	684
97	u	2381
2042	u	4670
1298	u	3384
1214	u	683
1614	u	712
4694	q2	1053
2100	u	3814
4153	u	4515
4338	u	2100
4683	p	1598
1783	u	3522
2861	t	1798
761	u	640
2122	u	3787
813	u	3537
3880	u	1333
3486	u	3940
3406	u	717
1215	u	4188
1333	u	3530
3902	u	4540
3504	u	3680
3076	u	744
4700	u	1720
1895	u	3602
721	u	2100
3739	u	4536
406	q2	2592
4718	t	1757
2503	u	2042
4878	u	557
4544	u	218
1029	u	1082
4040	t	4426
4764	u	904
717	u	2551
4806	u	3290
3739	u	2853
1963	u	2151
4412	q2	1239
3226	u	4687
3076	u	4562
337	t	2391
3217	u	2221
1029	u	4047
1812	u	151
218	u	850
4753	u	1848
2436	u	4764
1318	u	731
684	u	1500
3344	u	4801
3528	u	1318
1513	t	3574
2555	u	1729
4509	u	3687
2047	u	1373
420	u	1573
4764	u	3938
3316	u	1045
219	u	1349
3808	q1	518
1917	t	4908
4536	u	2544
2368	u	1143
712	u	772
1729	u	2874
3007	u	1783
2525	t	1710
4459	u	3217
1320	u	2291
135	u	4515
2555	u	2455
2155	u	1227
1528	u	3007
1055	u	1315
1573	u	4738
3139	u	2966
3613	u	3999
4188	u	2247
4971	u	4464
343	u	278
4908	v	4908
4788	u	235
2610	u	982
4856	u	68
3615	u	2045
3055	u	2966
1597	u	1770
2132	u	3352
401	t	2934
3546	u	2045
3907	t	2898
1217	u	4047
3493	u	4531
4582	t	3341
316	u	4562
1829	u	2539
3630	t	4554
1321	u	1827
4562	u	3037
3707	u	2646
4971	u	1446
930	u	2248
197	u	635
744	u	3735
1126	t	4821
3739	u	4862
1145	t	3904
4417	t	1123
2640	u	3240
63	u	4405
2894	q1	253
3510	u	2641
4702	u	4738
278	u	3953
1402	u	961
752	u	3119
4753	u	3413
1373	u	3400
804	u	1222
2435	u	1528
316	u	1772
1170	u	3119
2590	u	156
4414	t	4335
4188	u	4971
1812	u	3537
218	u	24
3493	u	1138
2317	u	4806
1381	t	3398
2455	u	4646
3777	u	2646
1573	u	1085
2503	u	2142
2358	u	752
2027	t	2038
2291	q2	653
1708	u	3307
4509	u	4385
3455	u	124
1204	u	257
218	u	1635
717	u	4971
2699	u	891
1812	u	836
1222	u	4291
63	u	3316
1320	u	4702
3352	u	1550
1586	u	3657
2555	u	1008
3113	u	376
218	u	3534
3114	u	2640
3007	u	557
225	u	2248
3226	u	630
3344	u	2429
2853	u	3687
3687	u	4464
1082	u	4702
1222	u	1081
1638	v	1638
2110	u	813
3344	u	712
4923	u	3938
1168	u	1096
1573	u	4604
1770	u	4766
2417	u	2477
2544	u	1570
465	u	2100
1840	p	3288
1942	u	4047
4646	u	2247
3298	u	3739
1168	u	727
3602	u	3414
4677	t	1957
1217	u	3217
3847	u	2417
557	u	3999
1045	u	4670
2646	u	2590
772	u	1675
2889	u	2155
2381	u	3758
703	u	3615
1980	u	4553
65	q2	0
2362	u	3514
4700	u	3276
683	u	3938
1629	u	2029
4249	t	2278
2629	u	3455
3504	u	3707
4023	u	2039
3076	u	755
4562	u	3822
2477	u	422
257	u	1586
2642	u	4738
717	u	891
3018	u	1634
1552	t	3399
3940	u	4856
1204	u	2276
3707	u	242
439	t	1059
304	u	2039
3687	u	2047
1085	u	4553
3007	u	4669
235	u	4711
1359	u	434
1500	u	1349
1315	u	2494
1085	u	3902
3352	u	960
3528	u	1321
850	u	1988
1204	u	3142
3416	u	2122
4854	u	68
219	u	1402
3643	u	3902
1570	u	761
4536	u	2555
151	u	1321
4553	u	3504
420	u	3139
4856	u	3493
1528	u	267
1055	u	3991
880	u	257
4559	s	2337
3226	u	3847
4923	u	2728
1729	u	3416
3939	u	4125
1413	t	72
135	u	4536
4553	u	1805
4833	u	4971
4915	t	4898
4856	u	3024
2610	u	2114
1055	u	1320
1720	u	2317
761	u	3414
3735	u	1315
598	u	1180
2343	u	3999
267	u	731
3316	u	4445
4769	u	4553
4515	u	4023
2429	u	3504
1222	u	3677
4047	u	63
4840	t	2047
4670	u	3217
3602	u	2151
2095	u	2610
3493	u	4540
2100	u	3486
4700	u	2070
197	u	3055
4773	u	299
2162	t	2369
4646	u	4923
559	u	1045
3859	u	3514
3939	u	1500
3141	r	3702
3680	u	1708
2039	u	2162
2169	u	1963
2646	u	1138
3758	u	2646
3450	u	3886
3657	u	1963
2007	t	2365
4527	t	3800
3018	u	2707
2799	u	4702
4670	u	4562
2590	u	235
841	u	3657
4854	u	3615
4003	u	267
2721	u	2641
219	u	3735
218	u	239
2436	u	4385
891	u	4788
982	u	3226
3352	u	3226
4702	u	3703
1708	u	3298
2761	q2	2614
2699	u	880
1422	u	3814
1276	t	2643
717	u	4964
3643	u	3076
1387	u	1805
68	u	1168
1180	u	1318
2368	u	304
1320	u	4769
2247	u	4856
1708	u	1609
1211	u	3643
2221	u	2100
344	u	468
2317	u	393
3307	u	3777
630	u	774
2352	u	422
2110	u	2721
1168	u	4084
3290	u	3226
1210	u	4167
3814	u	4162
1783	u	218
156	u	1422
3344	u	707
2095	u	151
4433	u	1168
4999	u	4669
267	u	257
3514	u	4562
863	t	2945
1827	u	1494
3848	u	3455
2095	u	3848
4677	t	1938
2187	u	468
3493	u	4854
2039	u	1559
3546	u	1029
1597	u	1298
2142	u	3877
1729	u	4769
1770	u	1963
4188	u	850
1980	u	4544
752	u	1629
1143	u	3677
197	u	3902
3099	v	3099
4007	t	4028
1058	u	4788
4732	u	4753
4167	u	3758
3939	u	2799
1770	u	3414
1217	u	4188
349	u	3352
1895	u	3680
904	u	591
2646	u	1827
2551	u	3024
982	u	1597
3999	u	456
3758	u	3847
2638	t	2383
3140	t	3630
2843	u	3822
2151	u	2317
2259	t	4114
3707	u	235
3217	u	3602
2642	u	2276
4806	u	3880
393	u	3953
1327	t	407
3235	t	4554
316	u	468
3999	u	1629
4125	u	1614
235	u	4732
2853	t	3853
4711	u	3940
850	u	368
841	u	3352
4769	u	2966
1315	u	2439
3406	u	4604
3812	u	3939
1829	u	4162
2055	t	860
4702	u	640
1675	u	4788
1284	u	368
1204	u	1081
2358	u	3608
218	u	2699
3007	u	368
2070	u	2642
3114	u	2317
1210	v	1210
151	u	1318
3352	u	1318
1708	u	774
4180	t	2782
3534	u	468
239	u	3971
1237	t	3682
3602	u	1848
4923	u	2721
396	t	2530
1988	u	1829
2504	r	3708
1211	u	4183
3455	u	4162
146	t	4230
3593	r	2213
4515	u	1315
2155	u	1241
2707	u	1942
591	u	891
731	u	774
3546	u	3680
1742	u	3406
1214	u	3703
3735	u	1304
1988	u	3512
2039	u	1373
3880	u	3298
1999	r	812
4303	t	3780
1481	r	712
3886	u	2889
4474	u	3939
4445	u	1211
1288	u	4162
3055	u	2948
4623	u	3139
3207	u	3217
1559	u	1180
1041	t	4011
4691	u	4011
2247	u	3615
2039	u	2155
3880	u	468
2439	u	4923
683	u	2122
550	u	304
2996	t	4533
3546	u	4769
3546	t	2810
3450	u	3877
4544	u	1422
3657	u	1980
1374	u	3707
4806	u	4118
1373	u	3450
4783	u	4971
3777	u	219
4177	u	3055
2503	u	731
2590	u	242
2151	u	1500
1204	u	2972
487	t	4875
4868	q2	3885
1029	u	2843
1373	u	2799
3726	u	1373
1349	u	4188
933	t	400
982	u	3217
